# {"t_start": 1573449183.798898, "env_id": "Ant-v2"} 
r,l,t
5377.476206,1000,1.988819
5687.388966,1000,2.865157
5802.779786,1000,5.336885
5309.724017,1000,6.648179
5630.431515,1000,8.665238
5214.536047,1000,10.195938
5596.109012,1000,11.228904
5679.868757,1000,11.96835
5354.876096,1000,12.710466
5453.518686,1000,13.569781
921.219737,1000,14.39108
4929.24947,845,15.091884
5629.143386,1000,15.915558
5474.830304,1000,16.676961
5816.157832,1000,17.450166
2167.069338,388,17.745845
5469.660139,1000,18.509593
3141.605746,575,18.957052
5319.320006,1000,19.83914
5637.722236,1000,20.580696
5506.745265,1000,21.573952
5729.994323,1000,22.368928
5527.636988,1000,23.280342
5340.269668,1000,24.161718
5704.704811,1000,24.958983
5708.851921,1000,25.788742
5685.431676,1000,26.623024
5426.868224,1000,27.373258
5697.99643,1000,28.154631
5659.889906,1000,28.974745
5637.640843,1000,29.863677
5674.218331,1000,30.741085
5570.923481,1000,31.517868
5543.871631,1000,32.266075
5495.28311,1000,33.022523
5547.903816,1000,33.769652
5426.893387,1000,34.657331
5554.41266,1000,35.411559
5426.554741,1000,36.260655
889.72454,1000,37.237992
5596.194694,1000,38.05613
5576.551248,1000,38.856013
5640.984277,1000,39.645228
4377.245694,786,40.306024
5801.527229,1000,41.060983
5544.226747,1000,41.829909
5201.734138,1000,42.589369
5044.228231,1000,43.346836
5455.611512,1000,44.19144
5672.405669,1000,45.094146
5768.030836,1000,45.920972
5479.313002,1000,46.730451
3356.563578,1000,47.50137
5641.561264,1000,48.254505
